as_of_utc,target,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin,h,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core,fallback_used
2023-02-09T22:59:00+00:00,2023-08,CORE_SPLIT_MONTHLY_R13,0.19199490581020812,,4.873148431243555,6.010137581462716,HARD_BASE,0.2016129032258007,8.515283842794778,9.618907595381385,10.807348206340428,estimated,2022-12,sa,2023-01,383,2023-01,7,0.1737269440139392,-0.004457023883235352,0.0,0.008541757716039001,-0.00760101985645937,0.02178424781992462,0.31732300195799223,-0.025028851862720636,0.0,0.09823946047454596,-0.2392344497607668,0.02178424781992462,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-09,CORE_SPLIT_MONTHLY_R13,0.006765775746770709,,4.873148431243555,6.010137581462716,HARD_BASE,-0.7377598926894713,6.859205776173314,8.64267352055634,9.820530225455977,estimated,2022-12,sa,2023-01,383,2023-01,8,0.031953770438057645,-0.059461277902050906,0.02335909135413767,0.04385327906379951,-0.001693267056514229,-0.03124582015065898,0.05836553688797652,-0.3339105993522695,0.15000000000000002,0.5043601818836341,-0.05329387637620364,-0.03124582015065898,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-10,CORE_SPLIT_MONTHLY_R13,0.528908644810661,,4.873148431243555,6.010137581462716,HARD_BASE,0.0675675675675613,8.498168498168521,10.83941398829584,12.041086799749243,estimated,2022-12,sa,2023-01,383,2023-01,9,0.36492243887675635,0.16254825366440429,0.0,0.007436662297335007,0.029510599583262045,-0.03550930961109663,0.6665533918383612,0.9128055554768677,0.0,0.08552966685648061,0.9288164202613469,-0.03550930961109663,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-11,CORE_SPLIT_MONTHLY_R13,0.3533605344759284,,4.873148431243555,6.010137581462716,HARD_BASE,0.0675219446319985,7.313540912382349,9.871795810995915,11.062978126210748,estimated,2022-12,sa,2023-01,383,2023-01,10,0.26242220405271793,0.09869189330411945,0.0,0.0005358427445017519,-0.009741864310840256,0.0014524586854295475,0.47933037700680303,0.5542139423689063,0.0,0.006162771629568395,-0.3066153742602551,0.0014524586854295475,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-12,CORE_SPLIT_MONTHLY_R13,0.2809257211348162,,4.873148431243555,6.010137581462716,HARD_BASE,-0.4048582995951344,6.879073135409149,10.348654485315834,11.545006695274932,estimated,2022-12,sa,2023-01,383,2023-01,11,0.31031575542553297,0.06050112132526991,0.0,-0.04405771432018867,-0.03720495423600026,-0.0086284870597978,0.5668109090699905,0.33974994140696824,0.0,-0.5067114086401523,-1.1709884887960376,-0.0086284870597978,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2024-01,CORE_SPLIT_MONTHLY_R13,1.1979684750055761,,4.873148431243555,6.010137581462716,HARD_BASE,1.4905149051490652,2.3224043715847307,6.815232400460867,6.815232400460867,estimated,2022-12,sa,2023-01,383,2023-01,12,0.4132165175736768,0.4040666993645452,0.140154548124826,0.2489495486456929,0.010590754333333579,-0.01900959303649823,0.7547655118171291,2.2690759183709863,0.9,2.8631893056872717,0.33333333333334103,-0.01900959303649823,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-01,CORE_SPLIT_CUMULATIVE_R13,4.873148431243555,,4.873148431243555,6.010137581462716,HARD_BASE,6.010137581462716,17.49598715890851,16.23580897555967,17.49598715890851,estimated,2022-12,sa,2023-01,383,2023-01,0,,,,,,,,,,,,,,,,,,False
2023-02-09T22:59:00+00:00,2023-02,CORE_SPLIT_CUMULATIVE_R13,0.17736878660726374,,4.873148431243555,6.010137581462716,HARD_BASE,0.6147540983606703,16.719492868462766,15.08493351610149,16.33263440730996,estimated,2022-12,sa,2023-01,383,2023-01,1,0.20141224935256327,-0.010741922640617177,0.015572727569425111,-0.027111645873861088,-0.02306795474346555,0.021305332943219176,0.36789192349195377,-0.060322313170475594,0.1,-0.3118132768181764,-0.7260406582768608,0.021305332943219176,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-03,CORE_SPLIT_CUMULATIVE_R13,0.20475632916825418,,4.873148431243555,6.010137581462716,HARD_BASE,0.1357773251866811,14.964925954793449,13.53888234249031,14.769821618009976,estimated,2022-12,sa,2023-01,383,2023-01,2,0.08351566087003269,0.0573875468682628,0.015572727569425111,0.06874259547951157,0.009825936081656435,-0.030288137700634446,0.15254651699656918,0.3222653606890805,0.1,0.7906142641866926,0.3092614486307266,-0.030288137700634446,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-04,CORE_SPLIT_CUMULATIVE_R13,0.6882344228745798,,4.873148431243555,6.010137581462716,HARD_BASE,-0.2033898305084824,12.71056661562021,12.662639564404394,13.88407899609802,estimated,2022-12,sa,2023-01,383,2023-01,3,0.2858370514041869,0.33480892559772435,0.015572727569425111,0.004118522640325431,0.048128902205651886,-0.000231706542733804,0.5220990430541383,1.8801521420206397,0.1,0.04736746880305981,1.514808756482089,-0.000231706542733804,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-05,CORE_SPLIT_CUMULATIVE_R13,0.5860724667887107,,4.873148431243555,6.010137581462716,HARD_BASE,0.2717391304347893,11.0609480812641,11.470208530233464,12.678720142284817,estimated,2022-12,sa,2023-01,383,2023-01,4,0.23129826960062938,0.2240724019309583,0.015572727569425111,0.06676162945995895,0.07578652373431666,-0.027419085506577682,0.4224805868424859,1.2583004043458046,0.1,0.7678310104994757,2.3853045574473764,-0.027419085506577682,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-06,CORE_SPLIT_CUMULATIVE_R13,0.43458246094537145,,4.873148431243555,6.010137581462716,HARD_BASE,0.3387533875338855,9.703703703703706,10.294589449585146,11.490355509896302,estimated,2022-12,sa,2023-01,383,2023-01,5,0.23861039224462186,0.08051571995025353,0.0077863637847125555,0.03047929282537347,0.07485540477015643,0.0023352873702535996,0.43583663084157065,0.45214387000151124,0.05,0.3505448623516913,2.3559985251965343,0.0023352873702535996,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-07,CORE_SPLIT_CUMULATIVE_R13,0.36844486683819966,,4.873148431243555,6.010137581462716,HARD_BASE,0.4726536124240565,8.771929824561415,9.582719264013397,10.770767536792977,estimated,2022-12,sa,2023-01,383,2023-01,6,0.43177917152377454,-0.07352169244830685,0.0077863637847125555,0.016536719505133173,-0.002991738512241086,-0.011143957014872691,0.7886713466845161,-0.4128682271384654,0.05,0.19019017586423964,-0.09416195856873921,-0.011143957014872691,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-08,CORE_SPLIT_CUMULATIVE_R13,0.1580853022426807,,4.873148431243555,6.010137581462716,HARD_BASE,0.2016129032258007,8.515283842794778,9.618907595381385,10.807348206340428,estimated,2022-12,sa,2023-01,383,2023-01,7,0.13981734044641178,-0.004457023883235352,0.0,0.008541757716039001,-0.00760101985645937,0.02178424781992462,0.25538501496162924,-0.025028851862720636,0.0,0.09823946047454596,-0.2392344497607668,0.02178424781992462,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-09,CORE_SPLIT_CUMULATIVE_R13,-0.012361033072119155,,4.873148431243555,6.010137581462716,HARD_BASE,-0.7377598926894713,6.859205776173314,8.64267352055634,9.820530225455977,estimated,2022-12,sa,2023-01,383,2023-01,8,0.01282696161916778,-0.059461277902050906,0.02335909135413767,0.04385327906379951,-0.001693267056514229,-0.03124582015065898,0.023429238280204157,-0.3339105993522695,0.15000000000000002,0.5043601818836341,-0.05329387637620364,-0.03124582015065898,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-10,CORE_SPLIT_CUMULATIVE_R13,0.43278765603882285,,4.873148431243555,6.010137581462716,HARD_BASE,0.0675675675675613,8.498168498168521,10.83941398829584,12.041086799749243,estimated,2022-12,sa,2023-01,383,2023-01,9,0.2688014501049182,0.16254825366440429,0.0,0.007436662297335007,0.029510599583262045,-0.03550930961109663,0.4909824642463647,0.9128055554768677,0.0,0.08552966685648061,0.9288164202613469,-0.03550930961109663,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-11,CORE_SPLIT_CUMULATIVE_R13,0.38892650352535396,,4.873148431243555,6.010137581462716,HARD_BASE,0.0675219446319985,7.313540912382349,9.871795810995915,11.062978126210748,estimated,2022-12,sa,2023-01,383,2023-01,10,0.2979881731021435,0.09869189330411945,0.0,0.0005358427445017519,-0.009741864310840256,0.0014524586854295475,0.54429381794204,0.5542139423689063,0.0,0.006162771629568395,-0.3066153742602551,0.0014524586854295475,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-12,CORE_SPLIT_CUMULATIVE_R13,0.2327586989495146,,4.873148431243555,6.010137581462716,HARD_BASE,-0.4048582995951344,6.879073135409149,10.348654485315834,11.545006695274932,estimated,2022-12,sa,2023-01,383,2023-01,11,0.2621487332402314,0.06050112132526991,0.0,-0.04405771432018867,-0.03720495423600026,-0.0086284870597978,0.47883086566353583,0.33974994140696824,0.0,-0.5067114086401523,-1.1709884887960376,-0.0086284870597978,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2024-01,CORE_SPLIT_CUMULATIVE_R13,1.1213312847869772,,4.873148431243555,6.010137581462716,HARD_BASE,1.4905149051490652,2.3224043715847307,6.815232400460867,6.815232400460867,estimated,2022-12,sa,2023-01,383,2023-01,12,0.33657932735507784,0.4040666993645452,0.140154548124826,0.2489495486456929,0.010590754333333579,-0.01900959303649823,0.6147829466495738,2.2690759183709863,0.9,2.8631893056872717,0.33333333333334103,-0.01900959303649823,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-01,CORE_AGG_CUMULATIVE_LABOUR_R13,4.873148431243555,,4.873148431243555,6.010137581462716,HARD_BASE,6.010137581462716,17.49598715890851,16.23580897555967,17.49598715890851,estimated,2022-12,sa,2023-01,383,2023-01,0,,,,,,,,,,,,,,,,,,False
2023-02-09T22:59:00+00:00,2023-02,CORE_AGG_CUMULATIVE_LABOUR_R13,0.16791425819102102,,4.873148431243555,6.010137581462716,HARD_BASE,0.6147540983606703,16.719492868462766,15.08493351610149,16.33263440730996,estimated,2022-12,sa,2023-01,383,2023-01,1,0.19195772093632055,-0.010741922640617177,0.015572727569425111,-0.027111645873861088,-0.02306795474346555,0.021305332943219176,0.3506226429196865,-0.060322313170475594,0.1,-0.3118132768181764,-0.7260406582768608,0.021305332943219176,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-03,CORE_AGG_CUMULATIVE_LABOUR_R13,0.17036035385439327,,4.873148431243555,6.010137581462716,HARD_BASE,0.1357773251866811,14.964925954793449,13.53888234249031,14.769821618009976,estimated,2022-12,sa,2023-01,383,2023-01,2,0.049119685556171785,0.0573875468682628,0.015572727569425111,0.06874259547951157,0.009825936081656435,-0.030288137700634446,0.08972014194105915,0.3222653606890805,0.1,0.7906142641866926,0.3092614486307266,-0.030288137700634446,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-04,CORE_AGG_CUMULATIVE_LABOUR_R13,0.7537884159537369,,4.873148431243555,6.010137581462716,HARD_BASE,-0.2033898305084824,12.71056661562021,12.662639564404394,13.88407899609802,estimated,2022-12,sa,2023-01,383,2023-01,3,0.3513910444833439,0.33480892559772435,0.015572727569425111,0.004118522640325431,0.048128902205651886,-0.000231706542733804,0.641837463552357,1.8801521420206397,0.1,0.04736746880305981,1.514808756482089,-0.000231706542733804,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-05,CORE_AGG_CUMULATIVE_LABOUR_R13,0.5753837897223455,,4.873148431243555,6.010137581462716,HARD_BASE,0.2717391304347893,11.0609480812641,11.470208530233464,12.678720142284817,estimated,2022-12,sa,2023-01,383,2023-01,4,0.22060959253426426,0.2240724019309583,0.015572727569425111,0.06676162945995895,0.07578652373431666,-0.027419085506577682,0.40295705747339516,1.2583004043458046,0.1,0.7678310104994757,2.3853045574473764,-0.027419085506577682,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-06,CORE_AGG_CUMULATIVE_LABOUR_R13,0.4997741559615101,,4.873148431243555,6.010137581462716,HARD_BASE,0.3387533875338855,9.703703703703706,10.294589449585146,11.490355509896302,estimated,2022-12,sa,2023-01,383,2023-01,5,0.3038020872607605,0.08051571995025353,0.0077863637847125555,0.03047929282537347,0.07485540477015643,0.0023352873702535996,0.5549132915326789,0.45214387000151124,0.05,0.3505448623516913,2.3559985251965343,0.0023352873702535996,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-07,CORE_AGG_CUMULATIVE_LABOUR_R13,0.46419670036795324,,4.873148431243555,6.010137581462716,HARD_BASE,0.4726536124240565,8.771929824561415,9.582719264013397,10.770767536792977,estimated,2022-12,sa,2023-01,383,2023-01,6,0.5275310050535281,-0.07352169244830685,0.0077863637847125555,0.016536719505133173,-0.002991738512241086,-0.011143957014872691,0.9635679894079696,-0.4128682271384654,0.05,0.19019017586423964,-0.09416195856873921,-0.011143957014872691,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-08,CORE_AGG_CUMULATIVE_LABOUR_R13,0.1107692933999128,,4.873148431243555,6.010137581462716,HARD_BASE,0.2016129032258007,8.515283842794778,9.618907595381385,10.807348206340428,estimated,2022-12,sa,2023-01,383,2023-01,7,0.0925013316036439,-0.004457023883235352,0.0,0.008541757716039001,-0.00760101985645937,0.02178424781992462,0.16895940002965126,-0.025028851862720636,0.0,0.09823946047454596,-0.2392344497607668,0.02178424781992462,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-09,CORE_AGG_CUMULATIVE_LABOUR_R13,-0.06231530186914982,,4.873148431243555,6.010137581462716,HARD_BASE,-0.7377598926894713,6.859205776173314,8.64267352055634,9.820530225455977,estimated,2022-12,sa,2023-01,383,2023-01,8,-0.03712730717786288,-0.059461277902050906,0.02335909135413767,0.04385327906379951,-0.001693267056514229,-0.03124582015065898,-0.06781532153901626,-0.3339105993522695,0.15000000000000002,0.5043601818836341,-0.05329387637620364,-0.03124582015065898,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-10,CORE_AGG_CUMULATIVE_LABOUR_R13,0.5172117370998225,,4.873148431243555,6.010137581462716,HARD_BASE,0.0675675675675613,8.498168498168521,10.83941398829584,12.041086799749243,estimated,2022-12,sa,2023-01,383,2023-01,9,0.3532255311659178,0.16254825366440429,0.0,0.007436662297335007,0.029510599583262045,-0.03550930961109663,0.6451882668746074,0.9128055554768677,0.0,0.08552966685648061,0.9288164202613469,-0.03550930961109663,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-11,CORE_AGG_CUMULATIVE_LABOUR_R13,0.34849571989610245,,4.873148431243555,6.010137581462716,HARD_BASE,0.0675219446319985,7.313540912382349,9.871795810995915,11.062978126210748,estimated,2022-12,sa,2023-01,383,2023-01,10,0.257557389472892,0.09869189330411945,0.0,0.0005358427445017519,-0.009741864310840256,0.0014524586854295475,0.4704444924642446,0.5542139423689063,0.0,0.006162771629568395,-0.3066153742602551,0.0014524586854295475,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-12,CORE_AGG_CUMULATIVE_LABOUR_R13,0.20224102929459545,,4.873148431243555,6.010137581462716,HARD_BASE,-0.4048582995951344,6.879073135409149,10.348654485315834,11.545006695274932,estimated,2022-12,sa,2023-01,383,2023-01,11,0.23163106358531227,0.06050112132526991,0.0,-0.04405771432018867,-0.03720495423600026,-0.0086284870597978,0.42308845562675845,0.33974994140696824,0.0,-0.5067114086401523,-1.1709884887960376,-0.0086284870597978,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2024-01,CORE_AGG_CUMULATIVE_LABOUR_R13,,,4.873148431243555,6.010137581462716,HARD_BASE,1.4905149051490652,2.3224043715847307,6.815232400460867,6.815232400460867,unavailable_candidate_or_noncore,2022-12,sa,2023-01,383,2023-01,12,,0.4040666993645452,0.140154548124826,0.2489495486456929,0.010590754333333579,-0.01900959303649823,,2.2690759183709863,0.9,2.8631893056872717,0.33333333333334103,-0.01900959303649823,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-01,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,4.873148431243555,,4.873148431243555,6.010137581462716,HARD_BASE,6.010137581462716,17.49598715890851,16.23580897555967,17.49598715890851,estimated,2022-12,sa,2023-01,383,2023-01,0,,,,,,,,,,,,,,,,,,False
2023-02-09T22:59:00+00:00,2023-02,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.17645575834841543,,4.873148431243555,6.010137581462716,HARD_BASE,0.6147540983606703,16.719492868462766,15.08493351610149,16.33263440730996,estimated,2022-12,sa,2023-01,383,2023-01,1,0.20049922109371496,-0.010741922640617177,0.015572727569425111,-0.027111645873861088,-0.02306795474346555,0.021305332943219176,0.36622422093945284,-0.060322313170475594,0.1,-0.3118132768181764,-0.7260406582768608,0.021305332943219176,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-03,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.18329083876158472,,4.873148431243555,6.010137581462716,HARD_BASE,0.1357773251866811,14.964925954793449,13.53888234249031,14.769821618009976,estimated,2022-12,sa,2023-01,383,2023-01,2,0.06205017046336324,0.0573875468682628,0.015572727569425111,0.06874259547951157,0.009825936081656435,-0.030288137700634446,0.11333847190600277,0.3222653606890805,0.1,0.7906142641866926,0.3092614486307266,-0.030288137700634446,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-04,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.7712940289881829,,4.873148431243555,6.010137581462716,HARD_BASE,-0.2033898305084824,12.71056661562021,12.662639564404394,13.88407899609802,estimated,2022-12,sa,2023-01,383,2023-01,3,0.3688966575177899,0.33480892559772435,0.015572727569425111,0.004118522640325431,0.048128902205651886,-0.000231706542733804,0.673812547847627,1.8801521420206397,0.1,0.04736746880305981,1.514808756482089,-0.000231706542733804,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
2023-02-09T22:59:00+00:00,2023-05,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,0.5931638106875269,,4.873148431243555,6.010137581462716,HARD_BASE,0.2717391304347893,11.0609480812641,11.470208530233464,12.678720142284817,estimated,2022-12,sa,2023-01,383,2023-01,4,0.23838961349944557,0.2240724019309583,0.015572727569425111,0.06676162945995895,0.07578652373431666,-0.027419085506577682,0.43543336481634065,1.2583004043458046,0.1,0.7678310104994757,2.3853045574473764,-0.027419085506577682,0.178075443,0.031772263,0.086948337,0.1557272756942511,0.5474766813057488,False
