model,clock,threshold,sample,scope,considered_pairs,all_calls,calls_without_eligible_revision,n_pairs,n_reports,n_target_quarters,calls,revision_direction_matches,revision_confirmations,mature_calls,material_gains,material_losses,joint_successes,unconfirmed_calls,mean_abs_error_gain
STABLE_LOCAL_CORE_R14B,cutoff,0.3,reports_2024plus,first_call_episodes,14,14,6,8,7,8,8,4,3,6,2,4,1,5,-0.07366857861089286
STABLE_LOCAL_CORE_R14B,cutoff,0.5,full,all_pairs,161,37,17,36,18,19,20,12,6,19,6,13,1,14,-1.0086278265404918
STABLE_LOCAL_CORE_R14B,cutoff,0.5,full,first_call_episodes,24,24,8,16,12,14,16,10,5,15,5,10,1,11,-0.7710717607364636
STABLE_LOCAL_CORE_R14B,cutoff,0.5,reports_2024plus,all_pairs,93,8,2,20,10,11,6,1,1,5,3,2,1,5,0.0635202198081735
STABLE_LOCAL_CORE_R14B,cutoff,0.5,reports_2024plus,first_call_episodes,6,6,1,5,4,5,5,1,1,4,2,2,1,4,0.03870589352316106
STABLE_LOCAL_CORE_R14B,report,0.3,full,all_pairs,161,39,18,36,18,19,21,16,7,20,7,12,1,14,-0.7839027613569847
STABLE_LOCAL_CORE_R14B,report,0.3,full,first_call_episodes,30,30,13,17,13,14,17,13,6,16,6,9,1,11,-0.5845572071500813
STABLE_LOCAL_CORE_R14B,report,0.3,reports_2024plus,all_pairs,93,12,5,20,10,11,7,4,1,6,4,2,1,6,0.07506697554060245
STABLE_LOCAL_CORE_R14B,report,0.3,reports_2024plus,first_call_episodes,10,10,4,6,5,6,6,3,1,5,3,2,1,5,0.006832870991013174
STABLE_LOCAL_CORE_R14B,report,0.5,full,all_pairs,161,34,16,36,18,19,18,13,7,18,6,11,1,11,-0.8744224302493367
STABLE_LOCAL_CORE_R14B,report,0.5,full,first_call_episodes,26,26,11,15,11,13,15,11,6,15,6,8,1,9,-0.5998817555640745
STABLE_LOCAL_CORE_R14B,report,0.5,reports_2024plus,all_pairs,93,7,3,20,10,11,4,1,1,4,3,1,1,3,0.09721333397381188
STABLE_LOCAL_CORE_R14B,report,0.5,reports_2024plus,first_call_episodes,6,6,2,4,3,4,4,1,1,4,3,1,1,3,0.09721333397381188
STATE_FAST_R15,cutoff,0.3,full,all_pairs,161,48,24,36,18,19,24,14,7,23,5,15,2,17,-0.36484142203391356
STATE_FAST_R15,cutoff,0.3,full,first_call_episodes,37,37,17,20,15,17,20,12,6,19,5,11,2,14,-0.28884004292957133
STATE_FAST_R15,cutoff,0.3,reports_2024plus,all_pairs,93,20,9,20,10,11,11,4,2,10,1,7,0,9,-0.3126401248147995
STATE_FAST_R15,cutoff,0.3,reports_2024plus,first_call_episodes,15,15,7,8,7,8,8,3,1,7,1,4,0,7,-0.20098276707573842
STATE_FAST_R15,cutoff,0.5,full,all_pairs,161,34,15,36,18,19,19,11,7,18,3,12,2,12,-0.4458093034334373
STATE_FAST_R15,cutoff,0.5,full,first_call_episodes,28,28,10,18,12,15,18,10,7,17,3,11,2,11,-0.4023939676059732
STATE_FAST_R15,cutoff,0.5,reports_2024plus,all_pairs,93,8,1,20,10,11,7,2,2,6,0,4,0,5,-0.40728746474112115
STATE_FAST_R15,cutoff,0.5,reports_2024plus,first_call_episodes,8,8,1,7,4,7,7,2,2,6,0,4,0,5,-0.40728746474112115
STATE_FAST_R15,report,0.3,full,all_pairs,161,44,19,36,18,19,25,18,10,23,6,15,3,15,-0.2737728065799545
STATE_FAST_R15,report,0.3,full,first_call_episodes,35,35,14,21,15,17,21,14,8,19,4,13,2,13,-0.2808826348156863
STATE_FAST_R15,report,0.3,reports_2024plus,all_pairs,93,16,6,20,10,11,10,6,3,8,1,5,0,7,-0.2604386966650312
STATE_FAST_R15,report,0.3,reports_2024plus,first_call_episodes,15,15,5,10,7,9,10,6,3,8,1,5,0,7,-0.2604386966650312
STATE_FAST_R15,report,0.5,full,all_pairs,161,34,14,36,18,19,20,14,9,20,4,14,3,11,-0.34443245603192085
STATE_FAST_R15,report,0.5,full,first_call_episodes,29,29,12,17,12,14,17,11,7,17,3,12,2,10,-0.3219435418344048
STATE_FAST_R15,report,0.5,reports_2024plus,all_pairs,93,8,2,20,10,11,6,3,2,6,0,4,0,4,-0.36996328716784843
STATE_FAST_R15,report,0.5,reports_2024plus,first_call_episodes,8,8,2,6,4,6,6,3,2,6,0,4,0,4,-0.36996328716784843
